Date,Low,High,Volume,Close
1/19/2016,566.45,584,4807165,574.48
1/20/2016,547.18,578.45,7966406,571.77
1/21/2016,568.22,588.81,4952217,575.02
1/22/2016,584.1079,600.1,5120144,596.38
1/25/2016,594.56,608.5,4396079,596.53
1/26/2016,590.38,604.5,3765655,601.25
1/27/2016,578.78,603.39,5152853,583.35
1/28/2016,597.55,638.06,14015171,635.35
1/29/2016,570,593,14677550,587
2/1/2016,570.31,581.8,6355123,574.81
2/2/2016,550.09,571.56,6312045,552.1
2/3/2016,521.9,556,10048709,531.07
2/4/2016,519.2201,538.99,6199070,536.26
2/5/2016,499.19,529.45,9708929,502.13
2/8/2016,475.21,493.5,9825509,488.1
2/9/2016,474,498.38,7077915,482.07
2/10/2016,486,504.66,6786181,490.48
2/11/2016,484,509.3,7397393,503.82
2/12/2016,501.4932,516.75,5384787,507.08
2/16/2016,511.66,524.45,5118500,521.1
2/17/2016,519.39,537.48,4824002,534.1
2/18/2016,523.73,541.2,4735008,525
2/19/2016,515.35,535.95,4974717,534.9
2/22/2016,541.08,560.65,5566553,559.5
2/23/2016,545.33,556.91,4050790,552.94
2/24/2016,533.1501,554.27,6231668,554.04
2/25/2016,545.2946,559.39,4525463,555.15
2/26/2016,553.17,562.5,4877039,555.23
2/29/2016,552.51,564.81,4145396,552.52
3/1/2016,556,579.25,5038452,579.04
3/2/2016,573.7,585,4582170,580.21
3/3/2016,573.11,579.866,2741292,577.49
3/4/2016,571.065,581.4,3416545,575.14
3/7/2016,555.55,573.63,4932527,562.8
3/8/2016,554.74,571.35,4679663,560.26
3/9/2016,550.125,560.35,4377283,559.47
3/10/2016,547.9,567,3919892,558.93
3/11/2016,562.73,570.06,3771310,569.61
3/14/2016,563.05,576.89,3454152,573.37
3/15/2016,567,581.52,3876821,577.02
3/16/2016,571.14,581.32,3537669,574.27
3/17/2016,555.01,571.4,5928105,559.44
3/18/2016,546.09,562.33,7296885,552.08
3/21/2016,538.58,555.24,5155732,553.98
3/22/2016,545.05,562.76,4000564,560.48
3/23/2016,558.1,572.48,3983720,569.63
3/24/2016,567.08,583.55,5185539,582.95
3/28/2016,575.56,584.75,3121522,579.87
3/29/2016,576.5,595.85,4392567,593.86
3/30/2016,595,603.24,3890461,598.69
3/31/2016,592.21,600.75,2681811,593.64
4/1/2016,588.3,599.03,2917386,598.5
4/4/2016,590.55,599.5,2470825,593.19
4/5/2016,585.25,593.47,2308884,586.14
4/6/2016,587.5,602.39,2849909,602.08
4/7/2016,589.08,599.6,3189037,591.43
4/8/2016,589,597.86,2591936,594.6
4/11/2016,594.91,604,2704267,595.93
4/12/2016,592.31,604.06,2641062,603.17
4/13/2016,605.29,616.81,4228349,614.82
4/14/2016,615.07,624.38,3512136,620.75
4/15/2016,618.11,626.77,2887681,625.89
4/18/2016,624.9603,637.64,4360883,635.35
4/19/2016,620.8,638.01,4055870,627.9
4/20/2016,623,636.55,2609425,632.99
4/21/2016,628.5,637.82,2596298,631
4/22/2016,611.56,628.25,5083904,620.5
4/25/2016,616.2511,626.98,2682924,626.2
4/26/2016,614.88,626.7549,2521433,616.88
4/27/2016,601.28,615.95,4068767,606.57
4/28/2016,599.2,626.8,7872605,602
4/29/2016,654,669.98,10310739,659.59
5/2/2016,662.0251,685.5,6578517,683.85
5/3/2016,670.43,680.3,4923351,671.32
5/4/2016,662.14,674,4635462,670.9
5/5/2016,656,676.49,4884114,659.09
5/6/2016,656.01,676.95,4365345,673.95
5/9/2016,671.41,686.98,3982161,679.75
5/10/2016,693.5,704.55,6105570,703.07
5/11/2016,701.65,719,7338196,713.23
5/12/2016,711.51,722.45,5048150,717.93
5/13/2016,706.51,719.25,4763419,709.92
5/16/2016,700.28,713.25,5432920,710.66
5/17/2016,693.91,714.47,5121357,695.27
5/18/2016,688.76,702.5399,4283189,697.45
5/19/2016,689.56,699.4,3025566,698.52
5/20/2016,700,707.24,2916165,702.8
5/23/2016,696.42,706,2595082,696.75
5/24/2016,698,707.5,3033782,704.2
5/25/2016,705.5159,710.86,3276631,708.35
5/26/2016,707.293,715,2446681,714.91
5/27/2016,711.1,716.6,2249164,712.24
5/31/2016,711.32,724.23,3618323,722.79
6/1/2016,718.22,726.43,3263107,719.44
